Total Length of Fwd Packets,Total Length of Bwd Packets,Label
72.0,208.0,BENIGN
1021.0,4873.0,BENIGN
47.0,211.0,BENIGN
483.0,585.0,BENIGN
76.0,332.0,BENIGN
393.0,5205.0,BENIGN
0.0,0.0,BENIGN
104.0,147.0,BENIGN
0.0,0.0,BENIGN
4.0,0.0,BENIGN
78.0,110.0,BENIGN
123.0,133.0,BENIGN
55.0,118.0,BENIGN
6.0,6.0,BENIGN
158.0,414.0,BENIGN
51.0,99.0,BENIGN
80.0,240.0,BENIGN
90.0,202.0,BENIGN
381.0,3009.0,BENIGN
78.0,274.0,BENIGN
152.0,180.0,BENIGN
72.0,328.0,BENIGN
72.0,234.0,BENIGN
12.0,0.0,BENIGN
84.0,228.0,BENIGN
78.0,160.0,BENIGN
703.0,3950.0,BENIGN
0.0,0.0,BENIGN
4.0,12.0,BENIGN
12.0,0.0,BENIGN
77.0,205.0,BENIGN
138.0,138.0,BENIGN
5459.0,11660.0,BENIGN
592.0,4406.0,BENIGN
60.0,264.0,BENIGN
142.0,398.0,BENIGN
4.0,0.0,BENIGN
74.0,444.0,BENIGN
988.0,25256.0,BENIGN
88.0,188.0,BENIGN
66.0,98.0,BENIGN
762.0,3694.0,BENIGN
55.0,110.0,BENIGN
0.0,0.0,BENIGN
826.0,912.0,BENIGN
1055.0,68911.0,BENIGN
72.0,184.0,BENIGN
128.0,408.0,BENIGN
84.0,284.0,BENIGN
48.0,48.0,BENIGN
54.0,92.0,BENIGN
930.0,6482.0,BENIGN
434.0,2336.0,BENIGN
6.0,30.0,BENIGN
514.0,1780.0,BENIGN
2622.0,7038.0,BENIGN
6.0,12.0,BENIGN
75.0,203.0,BENIGN
54.0,110.0,BENIGN
84.0,192.0,BENIGN
53.0,69.0,BENIGN
938.0,49922.0,BENIGN
49.0,187.0,BENIGN
3110.0,3108.0,BENIGN
41.0,143.0,BENIGN
86.0,302.0,BENIGN
0.0,0.0,BENIGN
46.0,98.0,BENIGN
70.0,152.0,BENIGN
58.0,90.0,BENIGN
112.0,273.0,BENIGN
90.0,122.0,BENIGN
352.0,5198.0,BENIGN
0.0,0.0,BENIGN
0.0,0.0,BENIGN
68.0,162.0,BENIGN
12.0,0.0,BENIGN
64.0,96.0,BENIGN
60.0,414.0,BENIGN
42.0,120.0,BENIGN
0.0,0.0,BENIGN
43.0,6.0,BENIGN
54.0,70.0,BENIGN
74.0,230.0,BENIGN
0.0,0.0,BENIGN
66.0,158.0,BENIGN
0.0,0.0,BENIGN
176.0,200.0,BENIGN
0.0,0.0,BENIGN
4.0,0.0,BENIGN
5824.0,54090.0,BENIGN
433.0,1773.0,BENIGN
158.0,414.0,BENIGN
68.0,182.0,BENIGN
0.0,0.0,BENIGN
51.0,67.0,BENIGN
384.0,328.0,BENIGN
54.0,144.0,BENIGN
1524.0,7288.0,BENIGN
1530.0,10720.0,BENIGN
44.0,60.0,BENIGN
64.0,158.0,BENIGN
2704.0,65380.0,BENIGN
108.0,278.0,BENIGN
12.0,0.0,BENIGN
6.0,6.0,BENIGN
68.0,100.0,BENIGN
4.0,0.0,BENIGN
6.0,6.0,BENIGN
0.0,0.0,BENIGN
2431.0,4121.0,BENIGN
1027.0,1438.0,BENIGN
86.0,118.0,BENIGN
24.0,0.0,BENIGN
37.0,0.0,BENIGN
51.0,67.0,BENIGN
60.0,314.0,BENIGN
382.0,3788.0,BENIGN
1449.0,5993.0,BENIGN
62.0,94.0,BENIGN
6.0,6.0,BENIGN
12.0,0.0,BENIGN
4.0,0.0,BENIGN
437.0,1963.0,BENIGN
90.0,482.0,BENIGN
0.0,0.0,BENIGN
530.0,5474.0,BENIGN
639.0,975.0,BENIGN
172.0,196.0,BENIGN
80.0,202.0,BENIGN
43.0,0.0,BENIGN
72.0,136.0,BENIGN
48.0,48.0,BENIGN
574.0,4625.0,BENIGN
172.0,142.0,BENIGN
384.0,5267.0,BENIGN
6.0,6.0,BENIGN
700.0,9161.0,BENIGN
98.0,178.0,BENIGN
720.0,1151.0,BENIGN
94.0,228.0,BENIGN
96.0,128.0,BENIGN
62.0,190.0,BENIGN
48.0,48.0,BENIGN
55.0,121.0,BENIGN
106.0,138.0,BENIGN
0.0,0.0,BENIGN
80.0,112.0,BENIGN
53.0,113.0,BENIGN
121.0,3110.0,BENIGN
188.0,542.0,BENIGN
0.0,0.0,BENIGN
82.0,114.0,BENIGN
9679.0,32629.0,BENIGN
280.0,6.0,BENIGN
12.0,0.0,BENIGN
4.0,12.0,BENIGN
90.0,164.0,BENIGN
78.0,206.0,BENIGN
0.0,0.0,BENIGN
134.0,230.0,BENIGN
58.0,186.0,BENIGN
1248.0,3724.0,BENIGN
64.0,256.0,BENIGN
92.0,124.0,BENIGN
33.0,102.0,BENIGN
1296.0,947.0,BENIGN
1375.0,24.0,BENIGN
55.0,80.0,BENIGN
60.0,288.0,BENIGN
47.0,79.0,BENIGN
744.0,7634.0,BENIGN
86.0,228.0,BENIGN
2646.0,7062.0,BENIGN
0.0,0.0,BENIGN
102.0,158.0,BENIGN
1726.0,18979.0,BENIGN
148.0,202.0,BENIGN
80.0,194.0,BENIGN
0.0,0.0,BENIGN
376.0,3508.0,BENIGN
96.0,96.0,BENIGN
76.0,332.0,BENIGN
6.0,6.0,BENIGN
50.0,111.0,BENIGN
4.0,0.0,BENIGN
72.0,234.0,BENIGN
348.0,358.0,BENIGN
55.0,128.0,BENIGN
1184.0,16431.0,BENIGN
65.0,0.0,BENIGN
358.0,3024.0,BENIGN
1181.0,75535.0,BENIGN
4255.0,1005.0,BENIGN
58.0,90.0,BENIGN
760.0,5682.0,BENIGN
0.0,0.0,BENIGN
18.0,6.0,BENIGN
196.0,3041.0,BENIGN
1303.0,1033.0,BENIGN
2262.0,5728.0,BENIGN
504.0,3994.0,BENIGN
79.0,207.0,BENIGN
124.0,0.0,BENIGN
129.0,92.0,BENIGN
48.0,48.0,BENIGN
48.0,48.0,BENIGN
37.0,0.0,BENIGN
997.0,3464.0,BENIGN
96.0,224.0,BENIGN
68.0,250.0,BENIGN
86.0,204.0,BENIGN
352.0,3782.0,BENIGN
64.0,96.0,BENIGN
45.0,184.0,BENIGN
100.0,156.0,BENIGN
80.0,202.0,BENIGN
750.0,22960.0,BENIGN
599.0,152.0,BENIGN
300.0,314.0,BENIGN
18.0,0.0,BENIGN
636.0,14927.0,BENIGN
84.0,310.0,BENIGN
4.0,0.0,BENIGN
108.0,294.0,BENIGN
6.0,6.0,BENIGN
84.0,172.0,BENIGN
598.0,2815.0,BENIGN
0.0,0.0,BENIGN
90.0,292.0,BENIGN
12.0,0.0,BENIGN
68.0,100.0,BENIGN
1242.0,4211.0,BENIGN
6.0,30.0,BENIGN
0.0,0.0,BENIGN
4.0,0.0,BENIGN
6.0,0.0,BENIGN
0.0,0.0,BENIGN
68.0,188.0,BENIGN
0.0,0.0,BENIGN
12.0,4.0,BENIGN
37.0,0.0,BENIGN
90.0,122.0,BENIGN
56.0,476.0,BENIGN
7254.0,1296.0,BENIGN
48.0,187.0,BENIGN
54.0,86.0,BENIGN
29.0,0.0,BENIGN
80.0,112.0,BENIGN
40.0,72.0,BENIGN
0.0,18.0,BENIGN
82.0,146.0,BENIGN
18.0,0.0,BENIGN
64.0,96.0,BENIGN
98.0,154.0,BENIGN
12.0,0.0,BENIGN
0.0,0.0,BENIGN
90.0,190.0,BENIGN
46.0,0.0,BENIGN
200.0,868.0,BENIGN
60.0,124.0,BENIGN
31.0,0.0,BENIGN
150.0,150.0,BENIGN
0.0,0.0,BENIGN
132.0,246.0,BENIGN
280.0,6.0,BENIGN
56.0,93.0,BENIGN
0.0,0.0,BENIGN
1373.0,3570.0,BENIGN
0.0,0.0,BENIGN
6.0,6.0,BENIGN
0.0,0.0,BENIGN
66.0,252.0,BENIGN
4.0,12.0,BENIGN
74.0,154.0,BENIGN
595.0,768.0,BENIGN
12.0,0.0,BENIGN
533.0,4164.0,BENIGN
48.0,48.0,BENIGN
0.0,0.0,BENIGN
58.0,156.0,BENIGN
2658.0,7975.0,BENIGN
80.0,574.0,BENIGN
12.0,0.0,BENIGN
4.0,12.0,BENIGN
0.0,0.0,BENIGN
280.0,0.0,BENIGN
956.0,4417.0,BENIGN
37.0,0.0,BENIGN
48.0,48.0,BENIGN
0.0,0.0,BENIGN
76.0,394.0,BENIGN
1824.0,550.0,BENIGN
40.0,56.0,BENIGN
0.0,0.0,BENIGN
1756.0,4520.0,BENIGN
12.0,0.0,BENIGN
394.0,3716.0,BENIGN
84.0,204.0,BENIGN
0.0,0.0,BENIGN
48.0,48.0,BENIGN
426.0,232.0,BENIGN
64.0,158.0,BENIGN
55.0,119.0,BENIGN
6.0,6.0,BENIGN
44.0,278.0,BENIGN
128.0,312.0,BENIGN
124.0,245.0,BENIGN
44.0,112.0,BENIGN
12.0,0.0,BENIGN
0.0,0.0,BENIGN
57.0,153.0,BENIGN
64.0,256.0,BENIGN
68.0,402.0,BENIGN
596.0,2255.0,BENIGN
94.0,206.0,BENIGN
48.0,48.0,BENIGN
61.0,77.0,BENIGN
0.0,0.0,BENIGN
6.0,0.0,BENIGN
66.0,122.0,BENIGN
4.0,12.0,BENIGN
12976.0,56.0,BENIGN
0.0,0.0,BENIGN
56.0,56.0,BENIGN
142.0,0.0,BENIGN
68.0,100.0,BENIGN
433.0,2279.0,BENIGN
826.0,43600.0,BENIGN
90.0,122.0,BENIGN
6.0,30.0,BENIGN
40.0,112.0,BENIGN
39.0,249.0,BENIGN
2622.0,7038.0,BENIGN
2052.0,1566.0,BENIGN
6.0,6.0,BENIGN
49.0,177.0,BENIGN
104.0,352.0,BENIGN
135.0,46.0,BENIGN
12.0,0.0,BENIGN
37.0,0.0,BENIGN
102.0,158.0,BENIGN
148.0,308.0,BENIGN
6.0,30.0,BENIGN
713.0,479.0,BENIGN
90.0,326.0,BENIGN
60.0,264.0,BENIGN
0.0,0.0,BENIGN
974.0,7387.0,BENIGN
12.0,0.0,BENIGN
64.0,96.0,BENIGN
5217.0,41778.0,BENIGN
6.0,6.0,BENIGN
46.0,62.0,BENIGN
66.0,218.0,BENIGN
2686.0,6718.0,BENIGN
68.0,168.0,BENIGN
70.0,304.0,BENIGN
1344.0,4092.0,BENIGN
4.0,0.0,BENIGN
0.0,0.0,BENIGN
160.0,336.0,BENIGN
66.0,98.0,BENIGN
0.0,0.0,BENIGN
112.0,241.0,BENIGN
635.0,157.0,BENIGN
588.0,3162.0,BENIGN
0.0,0.0,BENIGN
135.0,46.0,BENIGN
120.0,528.0,BENIGN
668.0,780.0,BENIGN
570.0,4686.0,BENIGN
356.0,3782.0,BENIGN
43.0,123.0,BENIGN
190.0,0.0,BENIGN
3191.0,12695.0,BENIGN
430.0,2276.0,BENIGN
102.0,224.0,BENIGN
820.0,5572.0,BENIGN
519.0,802.0,BENIGN
0.0,0.0,BENIGN
2104.0,0.0,BENIGN
50.0,109.0,BENIGN
24.0,0.0,BENIGN
3143.0,905.0,BENIGN
840.0,3796.0,BENIGN
54.0,176.0,BENIGN
72.0,328.0,BENIGN
0.0,0.0,BENIGN
18.0,0.0,BENIGN
64.0,192.0,BENIGN
51.0,111.0,BENIGN
0.0,2620.0,BENIGN
428.0,2266.0,BENIGN
96.0,96.0,BENIGN
478.0,1780.0,BENIGN
123.0,46.0,BENIGN
37.0,0.0,BENIGN
12.0,0.0,BENIGN
80.0,202.0,BENIGN
408.0,372.0,BENIGN
12.0,0.0,BENIGN
144.0,208.0,BENIGN
12.0,0.0,BENIGN
949.0,7011.0,BENIGN
0.0,0.0,BENIGN
64.0,252.0,BENIGN
11607.0,68.0,BENIGN
52.0,68.0,BENIGN
12.0,0.0,BENIGN
76.0,0.0,BENIGN
355.0,23055.0,BENIGN
12.0,0.0,BENIGN
70.0,174.0,BENIGN
50.0,78.0,BENIGN
6.0,6.0,BENIGN
48.0,64.0,BENIGN
90.0,122.0,BENIGN
1156.0,4908.0,BENIGN
64.0,96.0,BENIGN
29.0,0.0,BENIGN
50.0,78.0,BENIGN
12.0,0.0,BENIGN
72.0,286.0,BENIGN
12.0,0.0,BENIGN
0.0,0.0,BENIGN
66.0,119.0,BENIGN
79.0,207.0,BENIGN
44.0,241.0,BENIGN
48.0,48.0,BENIGN
88.0,200.0,BENIGN
589.0,1358.0,BENIGN
72.0,270.0,BENIGN
557.0,3993.0,BENIGN
12.0,0.0,BENIGN
84.0,116.0,BENIGN
74.0,220.0,BENIGN
37.0,0.0,BENIGN
88.0,120.0,BENIGN
0.0,0.0,BENIGN
12267.0,62861.0,BENIGN
931.0,7839.0,BENIGN
62.0,94.0,BENIGN
0.0,0.0,BENIGN
0.0,0.0,BENIGN
90.0,164.0,BENIGN
88.0,344.0,BENIGN
72.0,136.0,BENIGN
74.0,106.0,BENIGN
106.0,138.0,BENIGN
84.0,310.0,BENIGN
926.0,5551.0,BENIGN
376.0,390.0,BENIGN
82.0,306.0,BENIGN
37.0,0.0,BENIGN
50.0,120.0,BENIGN
2089.0,90479.0,BENIGN
74.0,264.0,BENIGN
86.0,342.0,BENIGN
82.0,254.0,BENIGN
84.0,294.0,BENIGN
548.0,3939.0,BENIGN
46.0,62.0,BENIGN
52.0,116.0,BENIGN
164.0,252.0,BENIGN
46.0,62.0,BENIGN
51.0,179.0,BENIGN
2353.0,13470.0,BENIGN
4246.0,327975.0,BENIGN
4.0,12.0,BENIGN
336.0,5422.0,BENIGN
123.0,46.0,BENIGN
0.0,0.0,BENIGN
66.0,98.0,BENIGN
84.0,204.0,BENIGN
88.0,250.0,BENIGN
773.0,469.0,BENIGN
82.0,204.0,BENIGN
11613.0,68.0,BENIGN
64.0,256.0,BENIGN
74.0,714.0,BENIGN
18.0,0.0,BENIGN
12.0,0.0,BENIGN
57.0,119.0,BENIGN
76.0,108.0,BENIGN
60.0,264.0,BENIGN
4.0,12.0,BENIGN
88.0,158.0,BENIGN
982.0,511.0,BENIGN
0.0,0.0,BENIGN
8142.0,4208.0,BENIGN
674.0,407.0,BENIGN
6.0,6.0,BENIGN
12.0,0.0,BENIGN
49.0,97.0,BENIGN
870.0,1492.0,BENIGN
1479.0,18596.0,BENIGN
945.0,783.0,BENIGN
10349.0,7523.0,BENIGN
68.0,100.0,BENIGN
37.0,0.0,BENIGN
55.0,129.0,BENIGN
381.0,6922.0,BENIGN
2149.0,5675.0,BENIGN
136.0,196.0,BENIGN
64.0,96.0,BENIGN
72.0,128.0,BENIGN
72.0,288.0,BENIGN
6448.0,1152.0,BENIGN
0.0,0.0,BENIGN
528.0,4263.0,BENIGN
44.0,176.0,BENIGN
0.0,0.0,BENIGN
12.0,6.0,BENIGN
4.0,12.0,BENIGN
60.0,344.0,BENIGN
0.0,0.0,BENIGN
2308.0,7397.0,BENIGN
74.0,154.0,BENIGN
84.0,192.0,BENIGN
953.0,1446.0,BENIGN
12.0,0.0,BENIGN
2742.0,161171.0,BENIGN
983.0,5029.0,BENIGN
78.0,152.0,BENIGN
1334.0,5917.0,BENIGN
299.0,159.0,BENIGN
1140.0,943.0,BENIGN
12.0,0.0,BENIGN
0.0,6.0,BENIGN
8066.0,3528.0,BENIGN
0.0,0.0,BENIGN
0.0,0.0,BENIGN
100.0,374.0,BENIGN
0.0,0.0,BENIGN
156.0,220.0,BENIGN
630.0,11171.0,BENIGN
80.0,202.0,BENIGN
0.0,0.0,BENIGN
76.0,108.0,BENIGN
0.0,0.0,BENIGN
1084.0,4706.0,BENIGN
12.0,0.0,BENIGN
65.0,0.0,BENIGN
4.0,12.0,BENIGN
94.0,350.0,BENIGN
68.0,132.0,BENIGN
0.0,0.0,BENIGN
126.0,235.0,BENIGN
454.0,1818.0,BENIGN
3055.0,0.0,BENIGN
76.0,172.0,BENIGN
90.0,122.0,BENIGN
3273.0,1145.0,BENIGN
3082.0,7679.0,BENIGN
6.0,30.0,BENIGN
64.0,96.0,BENIGN
88.0,88.0,BENIGN
66.0,180.0,BENIGN
56.0,568.0,BENIGN
949.0,832.0,BENIGN
2986.0,6356.0,BENIGN
6.0,6.0,BENIGN
64.0,218.0,BENIGN
48.0,48.0,BENIGN
84.0,204.0,BENIGN
1908.0,4804.0,BENIGN
76.0,108.0,BENIGN
2238.0,5211.0,BENIGN
0.0,0.0,BENIGN
924.0,7211.0,BENIGN
305.0,247.0,BENIGN
0.0,0.0,BENIGN
0.0,0.0,BENIGN
47.0,63.0,BENIGN
11607.0,62.0,BENIGN
12.0,0.0,BENIGN
31.0,0.0,BENIGN
438.0,860.0,BENIGN
6.0,6.0,BENIGN
0.0,0.0,BENIGN
617.0,164.0,BENIGN
100.0,356.0,BENIGN
0.0,0.0,BENIGN
101.0,168.0,BENIGN
12.0,0.0,BENIGN
94.0,350.0,BENIGN
4.0,12.0,BENIGN
70.0,460.0,BENIGN
108.0,268.0,BENIGN
0.0,0.0,BENIGN
12.0,0.0,BENIGN
72.0,114.0,BENIGN
0.0,0.0,BENIGN
720.0,1295.0,BENIGN
176.0,200.0,BENIGN
70.0,102.0,BENIGN
82.0,184.0,BENIGN
66.0,194.0,BENIGN
42.0,105.0,BENIGN
66.0,258.0,BENIGN
41.0,108.0,BENIGN
95.0,223.0,BENIGN
154.0,250.0,BENIGN
6.0,611.0,BENIGN
70.0,102.0,BENIGN
11613.0,62.0,BENIGN
0.0,0.0,BENIGN
6.0,6.0,BENIGN
76.0,332.0,BENIGN
70.0,326.0,BENIGN
12.0,0.0,BENIGN
6.0,6.0,BENIGN
569.0,421.0,BENIGN
68.0,182.0,BENIGN
0.0,0.0,BENIGN
12.0,0.0,BENIGN
0.0,0.0,BENIGN
68.0,182.0,BENIGN
11607.0,62.0,BENIGN
76.0,160.0,BENIGN
44.0,182.0,BENIGN
60.0,344.0,BENIGN
72.0,240.0,BENIGN
367.0,3710.0,BENIGN
6.0,6.0,BENIGN
6448.0,1152.0,BENIGN
12.0,0.0,BENIGN
0.0,0.0,BENIGN
4.0,12.0,BENIGN
0.0,0.0,BENIGN
72.0,234.0,BENIGN
84.0,190.0,BENIGN
12.0,0.0,BENIGN
339.0,4806.0,BENIGN
72.0,242.0,BENIGN
12.0,0.0,BENIGN
37.0,0.0,BENIGN
0.0,0.0,BENIGN
6.0,6.0,BENIGN
12.0,0.0,BENIGN
12.0,0.0,BENIGN
0.0,0.0,BENIGN
92.0,208.0,BENIGN
212.0,238.0,BENIGN
54.0,374.0,BENIGN
50.0,66.0,BENIGN
1172.0,592.0,BENIGN
6.0,6.0,BENIGN
66.0,248.0,BENIGN
74.0,154.0,BENIGN
66.0,164.0,BENIGN
507.0,3727.0,BENIGN
37.0,0.0,BENIGN
12982.0,56.0,BENIGN
4.0,0.0,BENIGN
78.0,152.0,BENIGN
2401.0,10148.0,BENIGN
12.0,0.0,BENIGN
11595.0,375.0,BENIGN
46.0,0.0,BENIGN
12.0,0.0,BENIGN
70.0,102.0,BENIGN
47.0,108.0,BENIGN
2412.0,29986.0,BENIGN
120.0,264.0,BENIGN
0.0,0.0,BENIGN
96.0,255.0,BENIGN
0.0,0.0,BENIGN
92.0,175.0,BENIGN
0.0,12.0,BENIGN
72.0,196.0,BENIGN
376.0,3508.0,BENIGN
0.0,0.0,BENIGN
45.0,61.0,BENIGN
0.0,0.0,BENIGN
432.0,1806.0,BENIGN
82.0,146.0,BENIGN
48.0,64.0,BENIGN
12.0,0.0,BENIGN
4.0,0.0,BENIGN
55.0,87.0,BENIGN
1375.0,30.0,BENIGN
70.0,158.0,BENIGN
11613.0,62.0,BENIGN
754.0,5581.0,BENIGN
102.0,224.0,BENIGN
6.0,30.0,BENIGN
123.0,46.0,BENIGN
12.0,0.0,BENIGN
78.0,334.0,BENIGN
74.0,202.0,BENIGN
11613.0,62.0,BENIGN
92.0,156.0,BENIGN
60.0,120.0,BENIGN
0.0,0.0,BENIGN
124.0,380.0,BENIGN
401.0,6.0,BENIGN
6.0,6.0,BENIGN
42.0,131.0,BENIGN
0.0,0.0,BENIGN
102.0,134.0,BENIGN
4.0,0.0,BENIGN
1634.0,675.0,BENIGN
12.0,0.0,BENIGN
66.0,158.0,BENIGN
68.0,158.0,BENIGN
12.0,0.0,BENIGN
247.0,0.0,BENIGN
12.0,0.0,BENIGN
1119.0,31812.0,BENIGN
12.0,0.0,BENIGN
132.0,98.0,BENIGN
6.0,6.0,BENIGN
0.0,0.0,BENIGN
870.0,1492.0,BENIGN
172.0,384.0,BENIGN
49.0,219.0,BENIGN
372.0,4213.0,BENIGN
389.0,3134.0,BENIGN
47.0,79.0,BENIGN
0.0,0.0,BENIGN
1359.0,2244.0,BENIGN
2047.0,3536.0,BENIGN
958.0,1027.0,BENIGN
31.0,0.0,BENIGN
45.0,108.0,BENIGN
74.0,262.0,BENIGN
90.0,146.0,BENIGN
18.0,0.0,BENIGN
64.0,228.0,BENIGN
364.0,498.0,BENIGN
156.0,134.0,BENIGN
82.0,226.0,BENIGN
4.0,0.0,BENIGN
54.0,114.0,BENIGN
12.0,0.0,BENIGN
98.0,162.0,BENIGN
387.0,156.0,BENIGN
0.0,31.0,BENIGN
262.0,448.0,BENIGN
72.0,136.0,BENIGN
0.0,0.0,BENIGN
37.0,0.0,BENIGN
0.0,0.0,BENIGN
703.0,3950.0,BENIGN
31.0,6.0,BENIGN
6.0,6.0,BENIGN
12.0,0.0,BENIGN
124.0,0.0,BENIGN
0.0,0.0,BENIGN
64.0,180.0,BENIGN
5594.0,13014.0,BENIGN
902.0,22320.0,BENIGN
910.0,4992.0,BENIGN
78.0,206.0,BENIGN
49.0,127.0,BENIGN
1038.0,4201.0,BENIGN
212.0,504.0,BENIGN
12.0,0.0,BENIGN
4.0,0.0,BENIGN
95.0,36.0,BENIGN
437.0,746.0,BENIGN
58.0,302.0,BENIGN
0.0,0.0,BENIGN
0.0,0.0,BENIGN
58.0,166.0,BENIGN
1074.0,399.0,BENIGN
0.0,247.0,BENIGN
12.0,0.0,BENIGN
681.0,63766.0,BENIGN
101.0,261.0,BENIGN
123.0,46.0,BENIGN
1375.0,24.0,BENIGN
0.0,0.0,BENIGN
4.0,12.0,BENIGN
37.0,0.0,BENIGN
6308.0,8348.0,BENIGN
1366.0,2607.0,BENIGN
6.0,6.0,BENIGN
1983.0,0.0,BENIGN
31.0,6.0,BENIGN
95.0,245.0,BENIGN
954.0,8873.0,BENIGN
45.0,235.0,BENIGN
0.0,0.0,BENIGN
49.0,91.0,BENIGN
96.0,180.0,BENIGN
49.0,105.0,BENIGN
37.0,6.0,BENIGN
751.0,5726.0,BENIGN
505.0,4259.0,BENIGN
1983.0,0.0,BENIGN
12.0,0.0,BENIGN
66.0,450.0,BENIGN
0.0,0.0,BENIGN
2870.0,351131.0,BENIGN
45.0,91.0,BENIGN
635.0,159.0,BENIGN
63.0,129.0,BENIGN
280.0,6.0,BENIGN
0.0,0.0,BENIGN
58.0,126.0,BENIGN
123.0,46.0,BENIGN
392.0,510.0,BENIGN
58.0,74.0,BENIGN
658.0,4269.0,BENIGN
0.0,0.0,BENIGN
96.0,612.0,BENIGN
0.0,0.0,BENIGN
4.0,12.0,BENIGN
70.0,102.0,BENIGN
3627.0,7172.0,BENIGN
4.0,0.0,BENIGN
78.0,160.0,BENIGN
23415.0,75147.0,BENIGN
74.0,262.0,BENIGN
0.0,0.0,BENIGN
0.0,0.0,BENIGN
76.0,172.0,BENIGN
148.0,431.0,BENIGN
420.0,1767.0,BENIGN
34065.0,11160.0,BENIGN
102.0,158.0,BENIGN
