Average Packet Size,Label
225.1923077,BENIGN
394.9047619,BENIGN
9.0,BENIGN
38.14285714,BENIGN
37.0,BENIGN
113.5,BENIGN
51.28205128,BENIGN
84.5,BENIGN
266.5714286,BENIGN
50.83333333,BENIGN
83.0,BENIGN
63.5,BENIGN
9.0,BENIGN
277.0,BENIGN
9.0,BENIGN
48.0,BENIGN
81.5,BENIGN
31.0,BENIGN
41.81818182,BENIGN
114.5,BENIGN
35.83333333,BENIGN
44.16666667,BENIGN
124.75,BENIGN
9.0,BENIGN
3.0,BENIGN
0.0,BENIGN
9.0,BENIGN
56.5,BENIGN
0.0,BENIGN
0.0,BENIGN
81.25,BENIGN
154.4117647,BENIGN
96.5,BENIGN
9.0,BENIGN
106.8333333,BENIGN
182.0,BENIGN
368.5280899,BENIGN
660.1666667,BENIGN
88.5,BENIGN
0.0,BENIGN
105.5,BENIGN
126.375,BENIGN
13.75,BENIGN
9.0,BENIGN
0.0,BENIGN
182.2692308,BENIGN
0.0,BENIGN
75.9,BENIGN
8.0,BENIGN
0.0,BENIGN
147.75,BENIGN
9.0,BENIGN
53.84615385,BENIGN
72.0,BENIGN
64.25,BENIGN
0.0,BENIGN
3.0,BENIGN
151.5,BENIGN
164.5454545,BENIGN
67.75,BENIGN
0.0,BENIGN
67.5,BENIGN
0.0,BENIGN
9.0,BENIGN
772.1527778,BENIGN
102.0,BENIGN
88.5,BENIGN
56.75,BENIGN
97.75,BENIGN
151.0,BENIGN
242.3,BENIGN
98.0,BENIGN
502.3432835820896,BENIGN
55.5,BENIGN
37.0,BENIGN
93.5,BENIGN
88.5,BENIGN
89.75,BENIGN
52.25,BENIGN
124.0,BENIGN
113.0,BENIGN
0.0,BENIGN
81.5,BENIGN
60.0,BENIGN
0.0,BENIGN
0.0,BENIGN
406.88235294117646,BENIGN
62.25,BENIGN
106.0,BENIGN
379.4705882352941,BENIGN
49.25,BENIGN
8.0,BENIGN
50.5,BENIGN
377.8823529,BENIGN
78.32258065,BENIGN
263.5294118,BENIGN
277.0,BENIGN
127.75,BENIGN
4.5,BENIGN
3.0,BENIGN
223.8125,BENIGN
84.0,BENIGN
73.0,BENIGN
0.0,BENIGN
0.0,BENIGN
163.1666667,BENIGN
128.5,BENIGN
0.0,BENIGN
0.0,BENIGN
31.0,BENIGN
9.0,BENIGN
104.0,BENIGN
908.3541666666666,BENIGN
0.0,BENIGN
3.0,BENIGN
157.0,BENIGN
48.0,BENIGN
199.0,BENIGN
94.25,BENIGN
7.0,BENIGN
56.66666667,BENIGN
0.0,BENIGN
0.0,BENIGN
72.0,BENIGN
0.0,BENIGN
88.5,BENIGN
277.0,BENIGN
104.6666667,BENIGN
79.5,BENIGN
112.1,BENIGN
47.85,BENIGN
52.75,BENIGN
83.0,BENIGN
0.0,BENIGN
9.0,BENIGN
105.75,BENIGN
144.25,BENIGN
61.5,BENIGN
49.0,BENIGN
576.6153846,BENIGN
84.0,BENIGN
102.5,BENIGN
323.6666667,BENIGN
617.0,BENIGN
59.5,BENIGN
8.0,BENIGN
68.0,BENIGN
71.0,BENIGN
94.5,BENIGN
87.75,BENIGN
0.0,BENIGN
168.0930233,BENIGN
78.5,BENIGN
64.75,BENIGN
0.0,BENIGN
60.0,BENIGN
13.75,BENIGN
0.0,BENIGN
81.25,BENIGN
76.75,BENIGN
69.0,BENIGN
3.0,BENIGN
137.5,BENIGN
82.5,BENIGN
9.0,BENIGN
3.0,BENIGN
56.75,BENIGN
9.0,BENIGN
84.5,BENIGN
515.1559633,BENIGN
9.0,BENIGN
78.5,BENIGN
57.45,BENIGN
4.5,BENIGN
82.5,BENIGN
127.0,BENIGN
204.0,BENIGN
0.0,BENIGN
9.0,BENIGN
375.1111111,BENIGN
67.75,BENIGN
0.0,BENIGN
101.0,BENIGN
0.857142857,BENIGN
97.5,BENIGN
44.25,BENIGN
127.0,BENIGN
111.5,BENIGN
187.4285714,BENIGN
4.5,BENIGN
0.0,BENIGN
22.66666667,BENIGN
652.9642857,BENIGN
0.0,BENIGN
37.75,BENIGN
79.5,BENIGN
0.0,BENIGN
104.5,BENIGN
0.0,BENIGN
129.6,BENIGN
55.5,BENIGN
75.5,BENIGN
4.5,BENIGN
82.5,BENIGN
3.0,BENIGN
13.75,BENIGN
359.0,BENIGN
284.1666667,BENIGN
112.0,BENIGN
4.5,BENIGN
19.0,BENIGN
69.75,BENIGN
0.0,BENIGN
934.3636364,BENIGN
123.0,BENIGN
158.25,BENIGN
53.0,BENIGN
184.84848484848484,BENIGN
71.0,BENIGN
69.75,BENIGN
352.0,BENIGN
40.5,BENIGN
420.4375,BENIGN
0.0,BENIGN
93.0,BENIGN
84.5,BENIGN
28.75,BENIGN
9.0,BENIGN
45.5,BENIGN
72.0,BENIGN
55.5,BENIGN
69.5,BENIGN
96.0,BENIGN
747.6493506493506,BENIGN
9.0,BENIGN
31.0,BENIGN
1454.125,BENIGN
71.0,BENIGN
0.0,BENIGN
62.0,BENIGN
140.0,BENIGN
119.0,BENIGN
74.25,BENIGN
6.857142857,BENIGN
128.0,BENIGN
350.0666667,BENIGN
128.0,BENIGN
604.4434783,BENIGN
171.5,BENIGN
406.0,BENIGN
53.84615385,BENIGN
510.125,BENIGN
89.75,BENIGN
83.25,BENIGN
0.0,BENIGN
185.4285714,BENIGN
37.833333333333336,BENIGN
72.0,BENIGN
82.5,BENIGN
336.7777778,BENIGN
1087.0,BENIGN
94.25,BENIGN
42.3,BENIGN
9.0,BENIGN
205.0,BENIGN
129.5,BENIGN
0.0,BENIGN
74.75,BENIGN
145.5,BENIGN
9.0,BENIGN
275.0434783,BENIGN
0.0,BENIGN
0.0,BENIGN
120.9,BENIGN
77.0,BENIGN
122.5,BENIGN
0.0,BENIGN
3.0,BENIGN
84.75,BENIGN
277.4285714,BENIGN
7.25,BENIGN
63.0,BENIGN
87.75,BENIGN
0.0,BENIGN
6.0,BENIGN
79.5,BENIGN
60.0,BENIGN
107.75,BENIGN
67.25,BENIGN
39.8,BENIGN
127.5,BENIGN
9.0,BENIGN
0.0,BENIGN
254.2531646,BENIGN
210.8571429,BENIGN
0.0,BENIGN
0.0,BENIGN
10.333333333333334,BENIGN
2068.0,BENIGN
100.0,BENIGN
285.8787879,BENIGN
63.0,BENIGN
0.0,BENIGN
149.0,BENIGN
10.33333333,BENIGN
1193.5,BENIGN
112.5,BENIGN
161.0,BENIGN
114.5,BENIGN
58.0,BENIGN
46.75,BENIGN
72.0,BENIGN
88.5,BENIGN
593.6329114,BENIGN
115.0,BENIGN
0.0,BENIGN
617.8193548,BENIGN
159.25,BENIGN
70.75,BENIGN
162.5,BENIGN
81.25,BENIGN
9.0,BENIGN
73.5,BENIGN
334.6666667,BENIGN
40.83333333,BENIGN
30.75,BENIGN
960.8666667,BENIGN
311.0,BENIGN
170.25,BENIGN
0.0,BENIGN
157.8,BENIGN
9.0,BENIGN
9.0,BENIGN
4.5,BENIGN
516.9565217,BENIGN
109.11111111111111,BENIGN
19.0,BENIGN
62.75,BENIGN
65.5,BENIGN
0.0,BENIGN
48.0,BENIGN
122.5,BENIGN
0.0,BENIGN
92.75,BENIGN
188.4,BENIGN
93.0,BENIGN
6.857142857,BENIGN
778.3333333,BENIGN
65.0,BENIGN
0.0,BENIGN
33.16666667,BENIGN
80.5,BENIGN
113.1529411764706,BENIGN
49.96875,BENIGN
88.0,BENIGN
292.3076923,BENIGN
1292.555556,BENIGN
3.0,BENIGN
10.33333333,BENIGN
165.05,BENIGN
297.8571429,BENIGN
241.9166667,BENIGN
9.0,BENIGN
930.025641,BENIGN
0.0,BENIGN
0.0,BENIGN
0.0,BENIGN
72.0,BENIGN
106.5,BENIGN
0.0,BENIGN
91.75,BENIGN
139.25,BENIGN
362.21875,BENIGN
49.0,BENIGN
4.428571429,BENIGN
81.77777778,BENIGN
3.0,BENIGN
0.0,BENIGN
9.0,BENIGN
104.5,BENIGN
93.5,BENIGN
9.0,BENIGN
454.5625,BENIGN
9.0,BENIGN
69.0,BENIGN
64.25,BENIGN
88.5,BENIGN
88.0,BENIGN
0.0,BENIGN
61.0,BENIGN
28.75,BENIGN
59.25,BENIGN
9.0,BENIGN
9.0,BENIGN
552.0588235,BENIGN
3.0,BENIGN
0.0,BENIGN
320.6808511,BENIGN
67.75,BENIGN
22.66666667,BENIGN
244.75,BENIGN
123.6623377,BENIGN
3.0,BENIGN
101.375,BENIGN
141.5,BENIGN
260.56756756756755,BENIGN
3.0,BENIGN
4.5,BENIGN
0.0,BENIGN
147.0,BENIGN
74.0,BENIGN
71.0,BENIGN
114.0,BENIGN
88.0,BENIGN
71.0,BENIGN
9.0,BENIGN
9.0,BENIGN
254.8125,BENIGN
116.0,BENIGN
3.6,BENIGN
275.3846154,BENIGN
252.6842105,BENIGN
112.5,BENIGN
304.3728813559322,BENIGN
133.5,BENIGN
80.5,BENIGN
3.0,BENIGN
0.0,BENIGN
13.64444444,BENIGN
0.0,BENIGN
9.0,BENIGN
35.83333333,BENIGN
56.75,BENIGN
51.75,BENIGN
434.2352941,BENIGN
83.0,BENIGN
4.5,BENIGN
3.0,BENIGN
969.0977596741344,BENIGN
33.16666667,BENIGN
147.5,BENIGN
92.75,BENIGN
0.0,BENIGN
121.25,BENIGN
139.375,BENIGN
9.0,BENIGN
217.5,BENIGN
9.0,BENIGN
108.5,BENIGN
8.0,BENIGN
126.0,BENIGN
1028.529412,BENIGN
71.0,BENIGN
101.0,BENIGN
65.5,BENIGN
93.0,BENIGN
97.5,BENIGN
77.9,BENIGN
9.0,BENIGN
86.75,BENIGN
0.0,BENIGN
226.7941176,BENIGN
37.0,BENIGN
147.75,BENIGN
80.0,BENIGN
0.0,BENIGN
40.0,BENIGN
0.0,BENIGN
0.0,BENIGN
357.7777778,BENIGN
0.0,BENIGN
4.5,BENIGN
0.0,BENIGN
489.5384615,BENIGN
141.13333333333333,BENIGN
3.0,BENIGN
82.0,BENIGN
66.0,BENIGN
300.7142857,BENIGN
113.75,BENIGN
0.0,BENIGN
0.0,BENIGN
9.0,BENIGN
76.83333333,BENIGN
326.4375,BENIGN
3.0,BENIGN
89.0,BENIGN
94.5,BENIGN
0.0,BENIGN
37.83333333,BENIGN
339.9411765,BENIGN
58.0,BENIGN
68.75,BENIGN
3.0,BENIGN
86.75,BENIGN
9.0,BENIGN
34.0,BENIGN
99.375,BENIGN
7.0,BENIGN
134.25,BENIGN
102.0,BENIGN
96.25,BENIGN
94.25,BENIGN
94.0,BENIGN
190.0,BENIGN
91.0,BENIGN
70.5,BENIGN
376.26,BENIGN
110.25,BENIGN
123.5,BENIGN
75.25,BENIGN
91.0,BENIGN
31.0,BENIGN
191.125,BENIGN
72.0,BENIGN
0.0,BENIGN
9.0,BENIGN
0.0,BENIGN
99.25,BENIGN
0.0,BENIGN
0.0,BENIGN
0.0,BENIGN
0.0,BENIGN
60.0,BENIGN
72.5,BENIGN
0.0,BENIGN
144.0,BENIGN
77.0,BENIGN
0.0,BENIGN
95.5,BENIGN
3.0,BENIGN
315.8461538,BENIGN
48.0,BENIGN
126.0,BENIGN
293.2857142857143,BENIGN
121.5,BENIGN
34.0,BENIGN
322.75,BENIGN
3.0,BENIGN
488.6206897,BENIGN
9.0,BENIGN
111.0,BENIGN
108.0,BENIGN
1074.640288,BENIGN
67.25,BENIGN
84.25,BENIGN
10.33333333,BENIGN
230.6153846,BENIGN
5.5,BENIGN
71.5,BENIGN
0.0,BENIGN
160.5,BENIGN
65.75,BENIGN
122.66666666666669,BENIGN
0.0,BENIGN
1057.012346,BENIGN
128.5,BENIGN
50.5,BENIGN
80.75,BENIGN
8.0,BENIGN
126.0,BENIGN
0.0,BENIGN
0.0,BENIGN
9.0,BENIGN
157.5,BENIGN
13.64444444,BENIGN
63.5,BENIGN
69.0,BENIGN
88.0,BENIGN
9.0,BENIGN
105.8,BENIGN
90.25,BENIGN
0.0,BENIGN
102.25,BENIGN
1121.189785,BENIGN
10.33333333,BENIGN
127.5,BENIGN
9.0,BENIGN
94.0,BENIGN
9.0,BENIGN
9.25,BENIGN
87.25,BENIGN
4.5,BENIGN
221.5,BENIGN
346.2941176,BENIGN
0.0,BENIGN
222.7692308,BENIGN
213.3103448,BENIGN
78.75,BENIGN
707.637931,BENIGN
0.0,BENIGN
51.75,BENIGN
77.75,BENIGN
200.0,BENIGN
81.0,BENIGN
81.83333333,BENIGN
9.0,BENIGN
140.5,BENIGN
0.0,BENIGN
120.5897436,BENIGN
171.5,BENIGN
682.656862745098,BENIGN
517.9,BENIGN
0.0,BENIGN
123.5466667,BENIGN
180.25,BENIGN
9.0,BENIGN
49.25,BENIGN
48.0,BENIGN
103.75,BENIGN
88.5,BENIGN
4.5,BENIGN
8.0,BENIGN
0.0,BENIGN
0.0,BENIGN
9.0,BENIGN
281.0769231,BENIGN
9.0,BENIGN
92.0,BENIGN
9.0,BENIGN
75.75,BENIGN
0.0,BENIGN
64.5,BENIGN
310.3076923076923,BENIGN
9.0,BENIGN
546.3968254,BENIGN
66.0,BENIGN
46.75,BENIGN
9.0,BENIGN
8.0,BENIGN
106.5,BENIGN
48.0,BENIGN
132.5,BENIGN
233.877551,BENIGN
45.5,BENIGN
122.5,BENIGN
384.8571429,BENIGN
64.25,BENIGN
127.0,BENIGN
22.66666667,BENIGN
0.0,BENIGN
0.0,BENIGN
82.75,BENIGN
13.75,BENIGN
66.02777778,BENIGN
89.25,BENIGN
0.0,BENIGN
80.5,BENIGN
224.1111111,BENIGN
51.125,BENIGN
6.75,BENIGN
9.0,BENIGN
94.5,BENIGN
150.5,BENIGN
108.5,BENIGN
1058.572193,BENIGN
48.0,BENIGN
0.0,BENIGN
7.2,BENIGN
0.0,BENIGN
70.75,BENIGN
141.0,BENIGN
85.75,BENIGN
269.6153846,BENIGN
82.5,BENIGN
112.5,BENIGN
0.0,BENIGN
327.1363636,BENIGN
122.5,BENIGN
430.5,BENIGN
74.0,BENIGN
61.75,BENIGN
121.5,BENIGN
126.5,BENIGN
90.25,BENIGN
80.5,BENIGN
0.0,BENIGN
0.0,BENIGN
151.5,BENIGN
8.0,BENIGN
0.0,BENIGN
75.0,BENIGN
400.8461538,BENIGN
21.33333333,BENIGN
144.5,BENIGN
62.75,BENIGN
3.0,BENIGN
243.4,BENIGN
144.5,BENIGN
71.0,BENIGN
95.25,BENIGN
359.42857142857144,BENIGN
9.0,BENIGN
114.0,BENIGN
0.0,BENIGN
0.0,BENIGN
296.64102564102564,BENIGN
9.0,BENIGN
71.0,BENIGN
126.75,BENIGN
55.5,BENIGN
96.5,BENIGN
157.0,BENIGN
7.2,BENIGN
314.3571429,BENIGN
28.75,BENIGN
9.0,BENIGN
82.0,BENIGN
556.5882352941177,BENIGN
326.3478261,BENIGN
128.25,BENIGN
9.25,BENIGN
98.0,BENIGN
296.0,BENIGN
4.5,BENIGN
424.2272727272728,BENIGN
51.75,BENIGN
59.83333333,BENIGN
198.0,BENIGN
9.0,BENIGN
88.25,BENIGN
108.0,BENIGN
10.375,BENIGN
58.0,BENIGN
0.0,BENIGN
88.5,BENIGN
157.975,BENIGN
69.25,BENIGN
31.0,BENIGN
9.0,BENIGN
100.0,BENIGN
9.0,BENIGN
459.3684210526316,BENIGN
0.0,BENIGN
0.0,BENIGN
99.25,BENIGN
22.66666667,BENIGN
51.75,BENIGN
857.3589743589744,BENIGN
33.28571429,BENIGN
104.0,BENIGN
277.0,BENIGN
122.75,BENIGN
37.0,BENIGN
162.5714286,BENIGN
9.0,BENIGN
0.0,BENIGN
9.0,BENIGN
68.0,BENIGN
9.0,BENIGN
34.0,BENIGN
72.0,BENIGN
0.0,BENIGN
82.5,BENIGN
1043.12,BENIGN
100.5,BENIGN
0.0,BENIGN
65.25,BENIGN
0.0,BENIGN
106.5,BENIGN
64.25,BENIGN
73.25,BENIGN
104.4,BENIGN
100.5,BENIGN
65.25,BENIGN
140.0,BENIGN
0.0,BENIGN
116.0,BENIGN
9.0,BENIGN
191.6052632,BENIGN
3.0,BENIGN
0.0,BENIGN
128.7179487,BENIGN
354.5714286,BENIGN
268.5384615,BENIGN
93.5,BENIGN
777.472972972973,BENIGN
0.0,BENIGN
18.5,BENIGN
308.4,BENIGN
9.0,BENIGN
92.81481481,BENIGN
35.83333333,BENIGN
21.5,BENIGN
4.5,BENIGN
168.0,BENIGN
60.5,BENIGN
87.5,BENIGN
199.0,BENIGN
730.0625,BENIGN
36.11111111111112,BENIGN
71.0,BENIGN
9.0,BENIGN
9.0,BENIGN
127.5,BENIGN
88.5,BENIGN
191.5,BENIGN
88.5,BENIGN
94.0,BENIGN
82.25,BENIGN
294.7735849056604,BENIGN
0.0,BENIGN
60.0,BENIGN
59.25,BENIGN
140.5,BENIGN
98.57142857,BENIGN
0.0,BENIGN
35.83333333,BENIGN
0.0,BENIGN
123.38095238095238,BENIGN
58.0,BENIGN
384.8571429,BENIGN
152.74468085106383,BENIGN
71.0,BENIGN
9.0,BENIGN
63.0,BENIGN
0.0,BENIGN
28.75,BENIGN
10.333333333333334,BENIGN
0.0,BENIGN
0.0,BENIGN
70.8,BENIGN
902.5,BENIGN
72.0,BENIGN
76.75,BENIGN
190.0,BENIGN
215.25,BENIGN
0.0,BENIGN
113.1529412,BENIGN
9.0,BENIGN
63.0,BENIGN
1061.971429,BENIGN
55.5,BENIGN
63.0,BENIGN
91.0,BENIGN
12.66666667,BENIGN
0.0,BENIGN
4.5,BENIGN
221.5,BENIGN
16.33333333,BENIGN
71.75,BENIGN
1029.5,BENIGN
106.5,BENIGN
156.5,BENIGN
9.0,BENIGN
162.0,BENIGN
69.25,BENIGN
3.0,BENIGN
0.0,BENIGN
0.0,BENIGN
129.5,BENIGN
103.5,BENIGN
122.0,BENIGN
113.25,BENIGN
359.27777777777777,BENIGN
9.0,BENIGN
9.0,BENIGN
111.5,BENIGN
0.0,BENIGN
49.25,BENIGN
115.5,BENIGN
0.0,BENIGN
72.0,BENIGN
9.0,BENIGN
0.0,BENIGN
88.5,BENIGN
107.7428571,BENIGN
204.2,BENIGN
334.44,BENIGN
214.7142857,BENIGN
7.5,BENIGN
348.15686274509807,BENIGN
107.5,BENIGN
83.0,BENIGN
4.5,BENIGN
0.0,BENIGN
79.5,BENIGN
98.5,BENIGN
0.0,BENIGN
90.0,BENIGN
0.0,BENIGN
9.0,BENIGN
76.75,BENIGN
9.0,BENIGN
63.0,BENIGN
40.33333333,BENIGN
125.3866667,BENIGN
317.25,BENIGN
9.0,BENIGN
9.0,BENIGN
0.0,BENIGN
0.0,BENIGN
54.75,BENIGN
72.0,BENIGN
4.5,BENIGN
0.0,BENIGN
37.83333333,BENIGN
107.0,BENIGN
40.21875,BENIGN
44.16666667,BENIGN
86.25,BENIGN
0.0,BENIGN
59.25,BENIGN
662.5915493,BENIGN
131.5,BENIGN
98.75,BENIGN
0.0,BENIGN
0.0,BENIGN
86.75,BENIGN
78.5,BENIGN
83.0,BENIGN
243.6984127,BENIGN
55.5,BENIGN
104.4333333,BENIGN
55.5,BENIGN
90.25,BENIGN
63.0,BENIGN
108.0,BENIGN
0.0,BENIGN
51.0,BENIGN
0.0,BENIGN
0.0,BENIGN
468.2307692307692,BENIGN
0.0,BENIGN
131.8571429,BENIGN
387.4285714285714,BENIGN
135.25,BENIGN
31.0,BENIGN
51.25,BENIGN
9.0,BENIGN
9.0,BENIGN
71.0,BENIGN
765.8065844,BENIGN
2.0,BENIGN
3.6,BENIGN
0.0,BENIGN
9.0,BENIGN
9.0,BENIGN
9.0,BENIGN
62.83333333,BENIGN
104.5,BENIGN
9.0,BENIGN
524.9473684210526,BENIGN
0.0,BENIGN
9.0,BENIGN
94.25,BENIGN
59.25,BENIGN
26.666666666666668,BENIGN
80.625,BENIGN
82.25,BENIGN
4.5,BENIGN
72.25,BENIGN
16.33333333,BENIGN
298.5333333,BENIGN
49.16129032258065,BENIGN
46.75,BENIGN
174.7272727,BENIGN
293.8666667,BENIGN
87.5,BENIGN
9.0,BENIGN
185.1428571,BENIGN
96.5,BENIGN
70.75,BENIGN
0.0,BENIGN
185.4285714,BENIGN
63.25,BENIGN
102.5,BENIGN
0.0,BENIGN
92.5,BENIGN
0.0,BENIGN
88.5,BENIGN
89.16666667,BENIGN
1162.7,BENIGN
10.625,BENIGN
79.5,BENIGN
1292.555556,BENIGN
99.25,BENIGN
327.3076923076923,BENIGN
9.0,BENIGN
31.0,BENIGN
9.0,BENIGN
78.25,BENIGN
22.666666666666668,BENIGN
63.07692308,BENIGN
115.0,BENIGN
106.5,BENIGN
72.0,BENIGN
3.0,BENIGN
112.75,BENIGN
10.33333333,BENIGN
9.0,BENIGN
1079.037975,BENIGN
8.0,BENIGN
102.5,BENIGN
151.5,BENIGN
122.0,BENIGN
0.0,BENIGN
66.25,BENIGN
37.0,BENIGN
100.75,BENIGN
69.25,BENIGN
122.0,BENIGN
13.75,BENIGN
188.5405405405405,BENIGN
455.5454545,BENIGN
9.0,BENIGN
129.5,BENIGN
156.89655172413794,BENIGN
13.75,BENIGN
924.5273632,BENIGN
28.75,BENIGN
126.0,BENIGN
9.0,BENIGN
9.0,BENIGN
9.0,BENIGN
129.75,BENIGN
88.5,BENIGN
103.75,BENIGN
355.2222222,BENIGN
203.4230769,BENIGN
116.5,BENIGN
217.12,BENIGN
61.5,BENIGN
70.8,BENIGN
96.5,BENIGN
187.6206896551724,BENIGN
114.0,BENIGN
58.5,BENIGN
75.0,BENIGN
51.75,BENIGN
3.0,BENIGN
106.0,BENIGN
73.5,BENIGN
174.5714286,BENIGN
83.0,BENIGN
2.4,BENIGN
72.0,BENIGN
80.5,BENIGN
58.5,BENIGN
442.1190476,BENIGN
24.66666667,BENIGN
80.0,BENIGN
512.1304348,BENIGN
649.2777778,BENIGN
80.75,BENIGN
0.0,BENIGN
72.0,BENIGN
323.1,BENIGN
97.0,BENIGN
119.0,BENIGN
209.4117647,BENIGN
9.0,BENIGN
52.25,BENIGN
140.0,BENIGN
3.0,BENIGN
3.0,BENIGN
77.0,BENIGN
236.75,BENIGN
103.5,BENIGN
28.75,BENIGN
0.0,BENIGN
74.0,BENIGN
93.25,BENIGN
9.0,BENIGN
9.0,BENIGN
420.1333333333333,BENIGN
7.0,BENIGN
131.0,BENIGN
80.5,BENIGN
151.5,BENIGN
115.0,BENIGN
110.0,BENIGN
63.5,BENIGN
106.0,BENIGN
9.0,BENIGN
82.5,BENIGN
222.85,BENIGN
89.0,BENIGN
0.0,BENIGN
67.75,BENIGN
6.0,BENIGN
4.5,BENIGN
0.0,BENIGN
0.0,BENIGN
218.8571429,BENIGN
66.5,BENIGN
7.5,BENIGN
168.2592593,BENIGN
33.16666667,BENIGN
140.0,BENIGN
0.0,BENIGN
144.5,BENIGN
970.3395445,BENIGN
643.36,BENIGN
231.5,BENIGN
178.0,BENIGN
67.25,BENIGN
56.75,BENIGN
297.4285714,BENIGN
117.0,BENIGN
111.5,BENIGN
20.66666667,BENIGN
100.0,BENIGN
8.0,BENIGN
264.7333333,BENIGN
66.25,BENIGN
559.4285714,BENIGN
568.0784314,BENIGN
9.0,BENIGN
306.27272727272725,BENIGN
0.0,BENIGN
48.0,BENIGN
9.25,BENIGN
63.0,BENIGN
118.0,BENIGN
9.0,BENIGN
31.0,BENIGN
95.0,BENIGN
36.11111111,BENIGN
82.5,BENIGN
84.75,BENIGN
291.9090909,BENIGN
0.0,BENIGN
91.25,BENIGN
3.0,BENIGN
65.25,BENIGN
13.285714285714286,BENIGN
72.0,BENIGN
80.0,BENIGN
94.0,BENIGN
0.0,BENIGN
0.0,BENIGN
72.25,BENIGN
72.0,BENIGN
0.0,BENIGN
9.0,BENIGN
115.0,BENIGN
0.0,BENIGN
6.75,BENIGN
94.25,BENIGN
708.2621359223301,BENIGN
3.0,BENIGN
22.66666667,BENIGN
105.5,BENIGN
9.0,BENIGN
419.7288136,BENIGN
0.0,BENIGN
108.5,BENIGN
0.0,BENIGN
184.8571429,BENIGN
112.5,BENIGN
4.5,BENIGN
185.1428571428572,BENIGN
128.0,BENIGN
0.0,BENIGN
114.0,BENIGN
80.0,BENIGN
0.0,BENIGN
322.7619047619048,BENIGN
92.0,BENIGN
85.5,BENIGN
80.5,BENIGN
183.25,BENIGN
231.6666667,BENIGN
115.5,BENIGN
322.6666666666667,BENIGN
58.0,BENIGN
103.5,BENIGN
73.0,BENIGN
121.5,BENIGN
61.0,BENIGN
72.0,BENIGN
183.5,BENIGN
85.0,BENIGN
9.0,BENIGN
124.5,BENIGN
3.0,BENIGN
85.0,BENIGN
184.4,BENIGN
919.6785714,BENIGN
99.5,BENIGN
66.0,BENIGN
108.0,BENIGN
111.5,BENIGN
3.0,BENIGN
82.5,BENIGN
40.33333333,BENIGN
0.0,BENIGN
0.0,BENIGN
0.0,BENIGN
31.0,BENIGN
75.5,BENIGN
0.0,BENIGN
67.75,BENIGN
3.0,BENIGN
198.5,BENIGN
377.4,BENIGN
75.16666666666667,BENIGN
132.25,BENIGN
1274.469565,BENIGN
3.0,BENIGN
309.3125,BENIGN
46.75,BENIGN
271.8,BENIGN
146.0,BENIGN
149.5,BENIGN
3.0,BENIGN
7.0,BENIGN
72.9375,BENIGN
3.0,BENIGN
48.77777778,BENIGN
176.5,BENIGN
335.6136364,BENIGN
71.0,BENIGN
0.0,BENIGN
297.4285714,BENIGN
0.0,BENIGN
9.0,BENIGN
0.0,BENIGN
4.5,BENIGN
77.25,BENIGN
119.0,BENIGN
